"","Preffered_Vcmax.9.comps"
"Wave_708",-154.074126145013
"Wave_709",-137.368097992038
"Wave_710",-119.013986056908
"Wave_711",-98.8387999055717
"Wave_712",-79.1134460417114
"Wave_713",-59.261174236923
"Wave_714",-39.1850057418814
"Wave_715",-19.7255939027132
"Wave_716",-0.0272672832109127
"Wave_717",18.8838672484874
"Wave_718",36.1343189258757
"Wave_719",51.7823784353137
"Wave_720",66.2695276603639
"Wave_721",79.5402727906804
"Wave_722",91.3570178725108
"Wave_723",102.296499962242
"Wave_724",109.787723470842
"Wave_725",114.488802671646
"Wave_726",118.298070553536
"Wave_727",120.148804412829
"Wave_728",120.319477429908
"Wave_729",119.64675689501
"Wave_730",116.067085388397
"Wave_731",111.111218498305
"Wave_732",105.959384870483
"Wave_733",99.8264857848786
"Wave_734",93.8442216263491
"Wave_735",86.4073004965004
"Wave_736",77.6725825365135
"Wave_737",69.5255149226523
"Wave_738",60.8604892747206
"Wave_739",52.4128266662519
"Wave_740",45.0806848767549
"Wave_741",37.1245676669228
"Wave_742",28.8276572619486
"Wave_743",22.4524526700933
"Wave_744",16.3408400964563
"Wave_745",10.2595888423715
"Wave_746",4.02821154767297
"Wave_747",-1.17251056621853
"Wave_748",-5.99098197992405
"Wave_749",-10.3719841292671
"Wave_750",-13.8930532122514
"Wave_751",-17.8282251645266
"Wave_752",-20.7865378699741
"Wave_753",-22.3548900927546
"Wave_754",-24.7034764094157
"Wave_755",-27.1390038393614
"Wave_756",-28.923307199582
"Wave_757",-29.9595112330066
"Wave_758",-31.3435151271409
"Wave_759",-33.9216563318931
"Wave_760",-35.7307841449853
"Wave_761",-36.5222807286323
"Wave_762",-36.8821916269517
"Wave_763",-36.7335189298284
"Wave_764",-36.3178940542548
"Wave_765",-35.7905215730435
"Wave_766",-34.7916364344668
"Wave_767",-32.9638580448283
"Wave_768",-32.189102002057
"Wave_769",-32.1873749654769
"Wave_770",-31.5489127550349
"Wave_771",-30.3880949537059
"Wave_772",-29.1429016103384
"Wave_773",-29.5393039123625
"Wave_774",-29.5885447771618
"Wave_775",-28.7920250808903
"Wave_776",-27.6821948171678
"Wave_777",-27.0479427142296
"Wave_778",-26.433697866346
"Wave_779",-25.6576338962866
"Wave_780",-25.4364811267954
"Wave_781",-25.5742279129098
"Wave_782",-25.5982088724877
"Wave_783",-24.7763517659757
"Wave_784",-23.9814102657324
"Wave_785",-24.0823931930944
"Wave_786",-23.4960966236834
"Wave_787",-22.9335809486243
"Wave_788",-24.0951452036763
"Wave_789",-24.349028758005
"Wave_790",-23.5773555269838
"Wave_791",-23.1160815373165
"Wave_792",-22.5876315362046
"Wave_793",-22.5508804442947
"Wave_794",-22.0562037132554
"Wave_795",-21.1087000101282
"Wave_796",-21.3710319905645
"Wave_797",-20.6383368407266
"Wave_798",-20.0765456079242
"Wave_799",-21.4323104792925
"Wave_800",-21.0903470873613
"Wave_801",-20.6646720375502
"Wave_802",-20.8675106178672
"Wave_803",-20.3643906120168
"Wave_804",-19.557357868419
"Wave_805",-20.1271080002294
"Wave_806",-20.4280188995586
"Wave_807",-20.636002144674
"Wave_808",-20.259259694158
"Wave_809",-19.2264850404908
"Wave_810",-19.2178454147192
"Wave_811",-19.3469023696208
"Wave_812",-18.623944148825
"Wave_813",-18.9749635350895
"Wave_814",-20.7612867377682
"Wave_815",-20.6024032135156
"Wave_816",-19.0369264055182
"Wave_817",-18.263335152535
"Wave_818",-18.0568733828265
"Wave_819",-17.6528912788434
"Wave_820",-17.3772795255594
"Wave_821",-16.7028002828358
"Wave_822",-17.2439761555708
"Wave_823",-18.7767468923204
"Wave_824",-20.5272649074123
"Wave_825",-20.6169796001719
"Wave_826",-20.2221476819031
"Wave_827",-20.7720516170309
"Wave_828",-19.8211614343405
"Wave_829",-18.9636535866809
"Wave_830",-19.3482645130037
"Wave_831",-18.3217494204854
"Wave_832",-17.8874161919642
"Wave_833",-18.8360067083487
"Wave_834",-19.9886750532351
"Wave_835",-19.3031094272335
"Wave_836",-18.9095632963116
"Wave_837",-19.5271658872778
"Wave_838",-19.720237310724
"Wave_839",-19.8216539452472
"Wave_840",-19.4920870056054
"Wave_841",-19.5693702993104
"Wave_842",-20.3938897058364
"Wave_843",-20.349215006467
"Wave_844",-20.5341296978953
"Wave_845",-21.1617415397342
"Wave_846",-21.385852315782
"Wave_847",-21.2739104523564
"Wave_848",-21.3650163000615
"Wave_849",-21.0798515324033
"Wave_850",-21.4053082373818
"Wave_851",-21.2692347591218
"Wave_852",-21.3014179894341
"Wave_853",-21.7545707684084
"Wave_854",-22.3116704920083
"Wave_855",-22.7797268431228
"Wave_856",-21.9830395394383
"Wave_857",-20.9354357840823
"Wave_858",-21.8747520361876
"Wave_859",-23.2105109723433
"Wave_860",-22.5286954777621
"Wave_861",-21.6387113637648
"Wave_862",-21.0915223927129
"Wave_863",-20.2343053768356
"Wave_864",-20.9881969010672
"Wave_865",-21.0180389085167
"Wave_866",-21.0587194743571
"Wave_867",-21.8920418687981
"Wave_868",-22.0614514957159
"Wave_869",-22.4074482628517
"Wave_870",-21.9864153737312
"Wave_871",-23.0190947871621
"Wave_872",-23.4462482145651
"Wave_873",-21.7327145440996
"Wave_874",-21.4794140294247
"Wave_875",-21.5260441895369
"Wave_876",-20.5946624517822
"Wave_877",-19.5700231269304
"Wave_878",-18.8363224252875
"Wave_879",-17.9200375373396
"Wave_880",-16.9360822343627
"Wave_881",-15.3825242384844
"Wave_882",-15.207055807035
"Wave_883",-14.3725586761311
"Wave_884",-14.4721005247589
"Wave_885",-14.4135983387817
"Wave_886",-15.1731276848681
"Wave_887",-15.1105168124938
"Wave_888",-14.048814799724
"Wave_889",-14.6564400521813
"Wave_890",-15.3409229721802
"Wave_891",-14.3899701232665
"Wave_892",-13.380398783538
"Wave_893",-12.5349995004233
"Wave_894",-13.0066173010912
"Wave_895",-12.995965667014
"Wave_896",-11.8766412305998
"Wave_897",-10.5238515790065
"Wave_898",-9.46428062015467
"Wave_899",-9.26760224583054
